feature,anova_F,anova_p,kruskal_H,kruskal_p,anova_p_holm,kruskal_p_holm
fw_of,5.260200526838016,0.006695976431652792,8.404093779487535,0.014964913920575494,0.8778666640279769,1.0
fw_has,5.13427895010456,0.007506602329416199,9.30843973497213,0.009521338250887313,0.9758583028241059,1.0
pos_part_ratio,5.070979580618772,0.007951218079550114,10.726531882126709,0.00468557826882492,1.0,0.5669549705278153
fw_here,5.0029092960127945,0.008459388179640476,8.006280822187925,0.018258210474786568,1.0,1.0
fw_out,4.995573070951027,0.008516097085426054,7.35472685015531,0.02528956484434359,1.0,1.0
avg_sent_length,4.91387130656198,0.009174476486926951,9.050433062003142,0.010832368638845619,1.0,1.0
fw_most,4.636080202366192,0.011827589169600961,7.784442319918166,0.02039998405073306,1.0,1.0
fw_what,4.55212577073718,0.012774507866721784,8.88549492637409,0.01176357409330573,1.0,1.0
num_sentences,4.4398351255943025,0.014163172635705767,11.214171397671032,0.0036717543785453437,1.0,0.45162578856107727
fw_during,4.379391520732654,0.01497344802357167,8.233741753063368,0.01629542514471835,1.0,1.0
fw_an,4.368035077085838,0.015130883977496058,11.261810495746328,0.00358532824707718,1.0,0.4445807026375703
fw_own,4.353036144891128,0.015341406434798505,10.265472636815984,0.00590039301009757,1.0,0.7080471612117084
fw_because,4.021293814770743,0.020845305117263787,12.305190830045214,0.0021279516789463482,1.0,0.27450576658407894
fw_just,3.996684043498238,0.021326383960882475,8.001985044817197,0.018297469225100057,1.0,1.0
punct_colon,3.9946862427226306,0.02136593094057686,8.256411670280135,0.0161117600597214,1.0,1.0
pos_sconj_ratio,3.9839674260414077,0.02157939311527438,9.159835278781857,0.010255740930690777,1.0,1.0
fw_she,3.9313656969327515,0.022658896613636976,5.617878075835835,0.060268901503030596,1.0,1.0
fw_have,3.9139338861268285,0.023028656352278746,8.187783398913224,0.016674216088721865,1.0,1.0
fw_into,3.716890448533927,0.027662227315090084,5.7277057044212,0.05704853671270636,1.0,1.0
pos_num_ratio,3.6409865593040123,0.02969161673098638,5.989122738533192,0.05005857950317266,1.0,1.0
fw_they,3.5160053370586595,0.03336980637064073,12.577236251530193,0.0018573247635569096,1.0,0.24330954402595514
fw_between,3.50261885592762,0.03379038008646829,4.984245362125851,0.08273416181392594,1.0,1.0
fw_his,3.4574381382162387,0.03525018770410515,1.9053169458709658,0.3857142483422557,1.0,1.0
fw_at,3.3710797156066086,0.03822197748559509,7.044417357643279,0.029534131666082195,1.0,1.0
punct_total,3.270382238391584,0.0420118764300885,7.234008471313075,0.026863031381957347,1.0,1.0
fw_more,3.2021708752156135,0.0447948668064581,4.438777271549,0.10867552885000181,1.0,1.0
fw_them,3.1638632343073145,0.0464395184478316,4.125126353089682,0.12712770118941466,1.0,1.0
fw_doing,2.9165124942971095,0.058649936949031534,5.548212518353482,0.06240522587124862,1.0,1.0
fw_in,2.863230372984566,0.061683183738439305,6.078942165614189,0.04786019688183883,1.0,1.0
fw_to,2.8498918481901816,0.06246724830056809,5.809995023224993,0.054748926837866134,1.0,1.0
fw_other,2.755140447330216,0.06833747620634696,4.931789141643961,0.08493282994602168,1.0,1.0
fw_me,2.7311225220717117,0.06991291038460383,3.822067168628129,0.14792741210029464,1.0,1.0
fw_too,2.6651133713128097,0.07443623033124767,4.297170909101199,0.11664904650260906,1.0,1.0
fw_about,2.6640652943397516,0.07451040851935181,6.643499586097761,0.036089627094009785,1.0,1.0
fw_be,2.6533141149007213,0.0752756948795142,5.340380345237045,0.06923905668451602,1.0,1.0
fw_the,2.5774408869783496,0.08090935241449383,3.2388349629594817,0.19801401232375432,1.0,1.0
fw_are,2.573253687387483,0.08123249439989921,2.8881612907248324,0.23596291046299367,1.0,1.0
fw_do,2.545223360296837,0.08342986092242796,7.502779577793789,0.023485083855838296,1.0,1.0
punct_period,2.5376189594194223,0.08403637466979214,5.464335772044706,0.06507805482750047,1.0,1.0
fw_again,2.512366384416173,0.08608292235852963,4.642752450090254,0.09813843205675868,1.0,1.0
fw_through,2.490331704217249,0.08791017355247926,3.1046848785280328,0.21175137768935812,1.0,1.0
fw_under,2.4685493735787847,0.08975538142143767,4.180268457678924,0.12367053455096698,1.0,1.0
punct_quote,2.462836873473317,0.0902457983777786,9.615691980881643,0.008165429180979948,1.0,0.9716860725366139
fw_down,2.4150130580562568,0.09446016440689918,3.841897399859525,0.14646794207026187,1.0,1.0
fw_up,2.3802947034024355,0.09764492084993917,6.94728475051771,0.031003896921297097,1.0,1.0
fw_was,2.355121490648948,0.10002238613691991,3.4650087421577647,0.17684097950978403,1.0,1.0
fw_same,2.3052656022869176,0.10490671491033972,5.91146257527069,0.05204059001738218,1.0,1.0
fw_such,2.2003713642450933,0.1159928241434652,4.948003518030102,0.08424704715113918,1.0,1.0
fw_now,2.0783834158764187,0.13039980125229433,3.806307448732294,0.14909766404553274,1.0,1.0
fw_our,2.0702209632057493,0.13142660580156548,3.601175778953546,0.16520173930389,1.0,1.0
punct_ellipsis,2.0603672918662275,0.13267714989699797,4.038461538461905,0.13275754700278797,1.0,1.0
fw_yourself,2.056630674592737,0.13315453637931085,4.038461538461905,0.13275754700278797,1.0,1.0
fw_whom,2.0520390399167896,0.13374355822446704,4.038461538461905,0.13275754700278797,1.0,1.0
