feature,importance_mean,importance_std
gunning_fog,1.1266714250385697,0.0
flesch_kincaid_grade,1.0723465194137525,0.0
flesch_reading_ease,1.06097695199609,0.0
fw_once,1.0094320927290186,0.0
fw_having,1.0000000000000007,0.0
punct_exclamation,1.0000000000000004,0.0
fw_ourselves,1.0,0.0
fw_myself,0.9999999999999984,0.0
fw_themselves,0.9899821901628334,0.0
fw_who,0.9729574262987062,0.0
fw_should,0.9557131156699896,0.0
fw_off,0.9286323010504716,0.0
fw_with,0.9042473424501983,0.0
fw_itself,0.9022586317912551,0.0
fw_over,0.8927401471031975,0.0
fw_could,0.86205900457514,0.0
fw_you,0.8583612010047479,0.0
fw_before,0.8337187068780837,0.0
fw_him,0.7911062763973726,0.0
fw_we,0.7034976595619784,0.0
fw_these,0.6968540091054928,0.0
word_length_std,0.6666490747552297,0.0
fw_no,0.6174676826714763,0.0
fw_he,0.6080469668677172,0.0
fw_or,0.5760345375231244,0.0
pos_propn_ratio,0.5636781193811207,0.0
fw_your,0.5302563609116292,0.0
fw_how,0.47950968254081483,0.0
fw_from,0.4658904106840041,0.0
pos_adp_ratio,0.4392729008597479,0.0
fw_by,0.43589916271554774,0.0
punct_question,0.4250060626209139,0.0
fw_i,0.4185808386084235,0.0
fw_there,0.40694303384600555,0.0
fw_did,0.3785650789993009,0.0
fw_her,0.3762936290585643,0.0
fw_so,0.3382876018619607,0.0
pos_intj_ratio,0.33492748832862396,0.0
fw_if,0.32284893519716307,0.0
fw_all,0.30874565920153024,0.0
pos_cconj_ratio,0.2828374092770647,0.0
fw_their,0.21493953237971686,0.0
smog_index,0.21015475581022444,0.0
fw_when,0.19674069454747203,0.0
fw_nor,0.17508605364677313,0.0
fw_only,0.17407818796799565,0.0
fw_and,0.14924303611119683,0.0
fw_will,0.11097238155030473,0.0
fw_below,0.001489625023811371,0.0
max_dep_depth,,0.0
mean_dep_depth,,0.0
fw_hers,,0.0
fw_himself,,0.0
fw_ours,,0.0
fw_theirs,,0.0
fw_yours,,0.0
fw_yourselves,,0.0
